Fecha,Hora,Casa,Visitante
Sep Sáb 28,18:00,Joventut,UCAM Murcia
Oct Sáb 28,18:00,Unicaja,Bàsquet Girona
Oct Sáb 28,20:45,MoraBanc And,Dreamland GC
Oct Sáb 28,20:45,BAXI Manresa,Valencia Basket
Oct Dom 29,12:30,Barça,Coviran Granada
Nov Dom 29,13:00,La Laguna TFE,Baskonia
Nov Dom 29,17:00,Casademont Zgz,Hiopos Lleida
Nov Dom 29,17:00,Surne Bilbao,Río Breogán
Nov Dom 29,18:30,Leyma Coruña,Real Madrid
Nov Sáb 5,18:00,Baskonia,MoraBanc And
Nov Sáb 5,18:00,Río Breogán,La Laguna TFE
Nov Sáb 5,20:45,UCAM Murcia,Surne Bilbao
Nov Sáb 5,20:45,Valencia Basket,Joventut
Nov Dom 6,12:30,Real Madrid,Casademont Zgz
Dic Dom 6,13:00,Dreamland GC,Leyma Coruña
Dic Dom 6,17:00,Bàsquet Girona,BAXI Manresa
Dic Dom 6,17:00,Coviran Granada,Unicaja
Dic Dom 6,18:30,Hiopos Lleida,Barça
Dic Sáb 12,18:00,Baskonia,UCAM Murcia
Ene Sáb 12,18:00,Unicaja,Hiopos Lleida
Ene Sáb 12,20:45,MoraBanc And,Leyma Coruña
Ene Sáb 12,20:45,Bàsquet Girona,Coviran Granada
Ene Dom 13,12:30,Surne Bilbao,Real Madrid
Feb Dom 13,12:30,BAXI Manresa,Dreamland GC
Feb Dom 13,17:00,Río Breogán,Valencia Basket
Feb Dom 13,17:00,Casademont Zgz,Joventut
Feb Dom 13,18:30,La Laguna TFE,Barça
Feb Sáb 19,18:00,Joventut,Río Breogán
Mar Sáb 19,18:00,Leyma Coruña,Unicaja
Mar Sáb 19,20:45,Dreamland GC,Surne Bilbao
Mar Sáb 19,20:45,UCAM Murcia,Casademont Zgz
Mar Dom 20,12:30,Real Madrid,Bàsquet Girona
Abr Dom 20,12:30,Hiopos Lleida,BAXI Manresa
Abr Dom 20,17:00,Coviran Granada,La Laguna TFE
Abr Dom 20,17:00,Valencia Basket,MoraBanc And
Abr Dom 20,18:30,Barça,Baskonia
Abr Sáb 26,18:00,Bàsquet Girona,UCAM Murcia
May Sáb 26,18:00,Baskonia,Joventut
May Sáb 26,20:45,MoraBanc And,Coviran Granada
May Sáb 26,20:45,Leyma Coruña,Casademont Zgz
May Dom 27,12:30,Real Madrid,BAXI Manresa
Jun Dom 27,13:00,La Laguna TFE,Dreamland GC
Jun Dom 27,17:00,Surne Bilbao,Valencia Basket
Jun Dom 27,17:00,Río Breogán,Hiopos Lleida
Jun Dom 27,18:30,Unicaja,Barça
Jun Sáb 2,18:00,Joventut,Bàsquet Girona
Jun Sáb 2,18:00,Casademont Zgz,Río Breogán
Jun Sáb 2,20:45,BAXI Manresa,Unicaja
Jun Sáb 2,20:45,Coviran Granada,Surne Bilbao
Jun Dom 3,12:30,Valencia Basket,La Laguna TFE
Ago Dom 3,12:30,Hiopos Lleida,MoraBanc And
Ago Dom 3,17:00,Barça,Leyma Coruña
Ago Dom 3,17:00,Dreamland GC,Baskonia
Ago Dom 3,18:30,UCAM Murcia,Real Madrid
Ago Sáb 9,18:00,BAXI Manresa,Coviran Granada
Sep Sáb 9,18:00,MoraBanc And,UCAM Murcia
Sep Sáb 9,20:45,Valencia Basket,Casademont Zgz
Sep Sáb 9,20:45,Joventut,Unicaja
Sep Dom 10,12:30,Bàsquet Girona,Surne Bilbao
Oct Dom 10,12:30,Real Madrid,Dreamland GC
Oct Dom 10,17:00,Baskonia,Hiopos Lleida
Oct Dom 10,17:00,Leyma Coruña,La Laguna TFE
Oct Dom 10,18:30,Río Breogán,Barça
Oct Sáb 16,18:00,UCAM Murcia,Río Breogán
Nov Sáb 16,18:00,Coviran Granada,Leyma Coruña
