Equipo,PJ,PG,PP,PF,PC,DIF
Unicaja,34,28,6,3016,2627,389
Real Madrid,34,28,6,3001,2707,294
FC Barcelona,34,23,11,2985,2769,216
Valencia Basket,34,21,13,2856,2788,68
UCAM Murcia,34,21,13,2829,2735,94
Lenovo Tenerife,34,21,13,2845,2760,85
Gran Canaria,34,20,14,2859,2771,88
Baxi Manresa,34,19,15,2878,2875,3
Baskonia,34,18,16,3008,3004,4
Joventut,34,16,18,2776,2939,-163
MoraBanc Andorra,34,13,21,2884,2894,-10
Casademont Zaragoza,34,13,21,2799,2893,-94
Bilbao Basket,34,13,21,2677,2777,-100
Bàsquet Girona,34,13,21,2754,2914,-160
Covirán CB Granada,34,11,23,2752,2930,-178
Breogán,34,11,23,2530,2674,-144
Monbus Obradoiro,34,11,23,2760,2868,-108
Zunder Palencia,34,6,28,2682,2966,-284
