Fecha,Hora,Casa,Visitante
Sáb 28,18:00,Joventut,UCAM Murcia
Sáb 28,18:00,Unicaja,Bàsquet Girona
Sáb 28,20:45,MoraBanc And,Dreamland GC
Sáb 28,20:45,BAXI Manresa,Valencia Basket
Dom 29,12:30,Barça,Coviran Granada
Dom 29,13:00,La Laguna TFE,Baskonia
Dom 29,17:00,Casademont Zgz,Hiopos Lleida
Dom 29,17:00,Surne Bilbao,Río Breogán
Dom 29,18:30,Leyma Coruña,Real Madrid
Sáb 5,18:00,Baskonia,MoraBanc And
Sáb 5,18:00,Río Breogán,La Laguna TFE
Sáb 5,20:45,UCAM Murcia,Surne Bilbao
Sáb 5,20:45,Valencia Basket,Joventut
Dom 6,12:30,Real Madrid,Casademont Zgz
Dom 6,13:00,Dreamland GC,Leyma Coruña
Dom 6,17:00,Bàsquet Girona,BAXI Manresa
Dom 6,17:00,Coviran Granada,Unicaja
Dom 6,18:30,Hiopos Lleida,Barça
Sáb 12,18:00,Baskonia,UCAM Murcia
Sáb 12,18:00,Unicaja,Hiopos Lleida
Sáb 12,20:45,MoraBanc And,Leyma Coruña
Sáb 12,20:45,Bàsquet Girona,Coviran Granada
Dom 13,12:30,Surne Bilbao,Real Madrid
Dom 13,12:30,BAXI Manresa,Dreamland GC
Dom 13,17:00,Río Breogán,Valencia Basket
Dom 13,17:00,Casademont Zgz,Joventut
Dom 13,18:30,La Laguna TFE,Barça
Sáb 19,18:00,Joventut,Río Breogán
Sáb 19,18:00,Leyma Coruña,Unicaja
Sáb 19,20:45,Dreamland GC,Surne Bilbao
Sáb 19,20:45,UCAM Murcia,Casademont Zgz
Dom 20,12:30,Real Madrid,Bàsquet Girona
Dom 20,12:30,Hiopos Lleida,BAXI Manresa
Dom 20,17:00,Coviran Granada,La Laguna TFE
Dom 20,17:00,Valencia Basket,MoraBanc And
Dom 20,18:30,Barça,Baskonia
Sáb 26,18:00,Bàsquet Girona,UCAM Murcia
Sáb 26,18:00,Baskonia,Joventut
Sáb 26,20:45,MoraBanc And,Coviran Granada
Sáb 26,20:45,Leyma Coruña,Casademont Zgz
Dom 27,12:30,Real Madrid,BAXI Manresa
Dom 27,13:00,La Laguna TFE,Dreamland GC
Dom 27,17:00,Surne Bilbao,Valencia Basket
Dom 27,17:00,Río Breogán,Hiopos Lleida
Dom 27,18:30,Unicaja,Barça
Sáb 2,18:00,Joventut,Bàsquet Girona
Sáb 2,18:00,Casademont Zgz,Río Breogán
Sáb 2,20:45,BAXI Manresa,Unicaja
Sáb 2,20:45,Coviran Granada,Surne Bilbao
Dom 3,12:30,Valencia Basket,La Laguna TFE
Dom 3,12:30,Hiopos Lleida,MoraBanc And
Dom 3,17:00,Barça,Leyma Coruña
Dom 3,17:00,Dreamland GC,Baskonia
Dom 3,18:30,UCAM Murcia,Real Madrid
Sáb 9,18:00,BAXI Manresa,Coviran Granada
Sáb 9,18:00,MoraBanc And,UCAM Murcia
Sáb 9,20:45,Valencia Basket,Casademont Zgz
Sáb 9,20:45,Joventut,Unicaja
Dom 10,12:30,Bàsquet Girona,Surne Bilbao
Dom 10,12:30,Real Madrid,Dreamland GC
Dom 10,17:00,Baskonia,Hiopos Lleida
Dom 10,17:00,Leyma Coruña,La Laguna TFE
Dom 10,18:30,Río Breogán,Barça
Sáb 16,18:00,UCAM Murcia,Río Breogán
Sáb 16,18:00,Coviran Granada,Leyma Coruña
Sáb 16,20:45,La Laguna TFE,BAXI Manresa
Sáb 16,20:45,Casademont Zgz,Baskonia
Dom 17,12:30,Real Madrid,Hiopos Lleida
Dom 17,13:00,Dreamland GC,Bàsquet Girona
Dom 17,17:00,MoraBanc And,Unicaja
Dom 17,17:00,Surne Bilbao,Joventut
Dom 17,18:30,Barça,Valencia Basket
Sáb 30,18:00,Unicaja,La Laguna TFE
Sáb 30,18:00,Río Breogán,Coviran Granada
Sáb 30,20:45,Casademont Zgz,Surne Bilbao
Sáb 30,20:45,Bàsquet Girona,MoraBanc And
Dom 1,12:30,BAXI Manresa,Barça
Dom 1,12:30,UCAM Murcia,Dreamland GC
Dom 1,17:00,Hiopos Lleida,Leyma Coruña
Dom 1,17:00,Baskonia,Valencia Basket
Dom 1,18:30,Joventut,Real Madrid
Sáb 7,18:00,MoraBanc And,Casademont Zgz
Sáb 7,18:00,Leyma Coruña,BAXI Manresa
Sáb 7,20:45,La Laguna TFE,Hiopos Lleida
Sáb 7,20:45,Valencia Basket,Bàsquet Girona
Dom 8,12:30,Surne Bilbao,Baskonia
Dom 8,13:00,Dreamland GC,Río Breogán
Dom 8,17:00,Coviran Granada,Joventut
Dom 8,17:00,Barça,UCAM Murcia
Dom 8,18:30,Real Madrid,Unicaja
Sáb 14,18:00,BAXI Manresa,MoraBanc And
Sáb 14,18:00,UCAM Murcia,Valencia Basket
Sáb 14,20:45,Bàsquet Girona,Leyma Coruña
Sáb 14,20:45,Unicaja,Dreamland GC
Dom 15,12:30,Joventut,La Laguna TFE
Dom 15,12:30,Real Madrid,Río Breogán
Dom 15,17:00,Coviran Granada,Baskonia
Dom 15,17:00,Hiopos Lleida,Surne Bilbao
Dom 15,18:30,Casademont Zgz,Barça
Sáb 21,18:00,Río Breogán,Bàsquet Girona
Sáb 21,18:00,Hiopos Lleida,Coviran Granada
Sáb 21,20:45,La Laguna TFE,UCAM Murcia
Dom 22,12:30,Leyma Coruña,Joventut
Dom 22,13:00,Dreamland GC,Casademont Zgz
Dom 22,17:00,Barça,MoraBanc And
Dom 22,17:00,Surne Bilbao,BAXI Manresa
Dom 22,18:30,Valencia Basket,Real Madrid
Dom 22,20:45,Baskonia,Unicaja
Vie 27,19:00,Joventut,Hiopos Lleida
Vie 27,21:30,Dreamland GC,Valencia Basket
Sáb 28,18:00,Leyma Coruña,Surne Bilbao
Sáb 28,18:00,Unicaja,Río Breogán
Sáb 28,20:45,MoraBanc And,La Laguna TFE
Sáb 28,20:45,UCAM Murcia,Coviran Granada
Dom 29,12:30,Casademont Zgz,Bàsquet Girona
Dom 29,17:00,BAXI Manresa,Baskonia
Dom 29,20:30,Real Madrid,Barça
Lun 30,18:00,Valencia Basket,Hiopos Lleida
Lun 30,20:45,Joventut,Dreamland GC
Jue 2,18:00,Surne Bilbao,MoraBanc And
Jue 2,19:00,Río Breogán,BAXI Manresa
Jue 2,20:30,UCAM Murcia,Unicaja
Jue 2,21:30,La Laguna TFE,Casademont Zgz
Mar 7,20:30,Bàsquet Girona,Barça
Mié 8,20:00,Baskonia,Leyma Coruña
Mié 8,20:30,Coviran Granada,Real Madrid
Sáb 4,18:00,BAXI Manresa,UCAM Murcia
Sáb 4,18:00,Hiopos Lleida,Bàsquet Girona
Sáb 4,20:45,MoraBanc And,Río Breogán
Sáb 4,20:45,Unicaja,Casademont Zgz
Sáb 4,21:30,La Laguna TFE,Surne Bilbao
Dom 5,12:30,Barça,Joventut
Dom 5,12:30,Leyma Coruña,Valencia Basket
Dom 5,12:30,Coviran Granada,Dreamland GC
Lun 6,20:30,Baskonia,Real Madrid
Sáb 11,18:00,Surne Bilbao,Unicaja
Sáb 11,18:00,Valencia Basket,Coviran Granada
Sáb 11,20:45,Casademont Zgz,BAXI Manresa
Sáb 11,20:45,Joventut,MoraBanc And
Dom 12,12:30,UCAM Murcia,Hiopos Lleida
Dom 12,12:30,Río Breogán,Leyma Coruña
Dom 12,13:00,Dreamland GC,Barça
Dom 12,17:00,Bàsquet Girona,Baskonia
Dom 12,17:00,Real Madrid,La Laguna TFE
Sáb 18,18:00,Leyma Coruña,UCAM Murcia
Sáb 18,18:00,BAXI Manresa,Joventut
Sáb 18,20:45,La Laguna TFE,Bàsquet Girona
Sáb 18,20:45,Unicaja,Valencia Basket
Dom 19,12:30,Hiopos Lleida,Dreamland GC
Dom 19,12:30,Coviran Granada,Casademont Zgz
Dom 19,17:00,Barça,Surne Bilbao
Dom 19,17:00,Baskonia,Río Breogán
Dom 19,18:30,MoraBanc And,Real Madrid
Sáb 25,18:00,Valencia Basket,BAXI Manresa
Sáb 25,18:00,Río Breogán,Surne Bilbao
Sáb 25,20:45,Bàsquet Girona,Unicaja
Sáb 25,20:45,Joventut,Coviran Granada
Dom 26,12:30,Casademont Zgz,MoraBanc And
Dom 26,13:00,Dreamland GC,La Laguna TFE
Dom 26,17:00,Hiopos Lleida,Baskonia
Dom 26,17:00,Real Madrid,Leyma Coruña
Dom 26,18:30,UCAM Murcia,Barça
Sáb 1,18:00,Casademont Zgz,UCAM Murcia
Sáb 1,18:00,Coviran Granada,Bàsquet Girona
Sáb 1,20:45,MoraBanc And,Valencia Basket
Sáb 1,20:45,Leyma Coruña,Dreamland GC
Dom 2,12:30,Unicaja,Baskonia
Dom 2,13:00,La Laguna TFE,Río Breogán
Dom 2,17:00,Surne Bilbao,Hiopos Lleida
Dom 2,17:00,Barça,BAXI Manresa
Dom 2,18:30,Real Madrid,Joventut
Sáb 8,18:00,BAXI Manresa,Surne Bilbao
Sáb 8,18:00,Río Breogán,Unicaja
Sáb 8,20:45,UCAM Murcia,La Laguna TFE
Sáb 8,20:45,Joventut,Leyma Coruña
Dom 9,12:30,Hiopos Lleida,Real Madrid
Dom 9,13:00,Dreamland GC,MoraBanc And
Dom 9,17:00,Bàsquet Girona,Casademont Zgz
Dom 9,17:00,Baskonia,Coviran Granada
Dom 9,18:30,Valencia Basket,Barça
Sáb 1,18:00,Casademont Zgz,Valencia Basket
Sáb 1,18:00,Leyma Coruña,Hiopos Lleida
Sáb 1,20:45,Coviran Granada,UCAM Murcia
Sáb 1,20:45,La Laguna TFE,Joventut
Dom 2,12:30,Surne Bilbao,Bàsquet Girona
Dom 2,12:30,Unicaja,BAXI Manresa
Dom 2,17:00,Barça,Río Breogán
Dom 2,17:00,MoraBanc And,Baskonia
Dom 2,18:30,Dreamland GC,Real Madrid
Sáb 8,18:00,Valencia Basket,Surne Bilbao
Sáb 8,18:00,Unicaja,Coviran Granada
Sáb 8,20:45,Río Breogán,MoraBanc And
Sáb 8,20:45,Bàsquet Girona,Joventut
Dom 9,12:30,Real Madrid,UCAM Murcia
Dom 9,12:30,BAXI Manresa,Leyma Coruña
Dom 9,17:00,Baskonia,Dreamland GC
Dom 9,17:00,Hiopos Lleida,Casademont Zgz
Dom 9,18:30,Barça,La Laguna TFE
Sáb 15,18:00,UCAM Murcia,Bàsquet Girona
Sáb 15,18:00,Joventut,Valencia Basket
Sáb 15,20:45,Casademont Zgz,Unicaja
Sáb 15,20:45,Dreamland GC,BAXI Manresa
Dom 16,12:30,Coviran Granada,Hiopos Lleida
Dom 16,12:30,Leyma Coruña,Río Breogán
Dom 16,17:00,MoraBanc And,Barça
Dom 16,17:00,Surne Bilbao,La Laguna TFE
Dom 16,18:30,Real Madrid,Baskonia
Sáb 22,18:00,Bàsquet Girona,Dreamland GC
Sáb 22,18:00,Valencia Basket,Leyma Coruña
Sáb 22,20:45,Baskonia,BAXI Manresa
Sáb 22,20:45,Río Breogán,UCAM Murcia
Dom 23,12:30,Hiopos Lleida,Joventut
Dom 23,13:00,La Laguna TFE,MoraBanc And
Dom 23,17:00,Barça,Casademont Zgz
Dom 23,17:00,Surne Bilbao,Coviran Granada
Dom 23,18:30,Unicaja,Real Madrid
Sáb 29,18:00,UCAM Murcia,MoraBanc And
Sáb 29,18:00,BAXI Manresa,Hiopos Lleida
Sáb 29,20:45,Leyma Coruña,Bàsquet Girona
Sáb 29,20:45,Casademont Zgz,La Laguna TFE
Dom 30,12:30,Coviran Granada,Valencia Basket
Dom 30,13:00,Dreamland GC,Unicaja
Dom 30,17:00,Real Madrid,Surne Bilbao
Dom 30,17:00,Río Breogán,Baskonia
Dom 30,18:30,Joventut,Barça
Sáb 5,18:00,MoraBanc And,Joventut
Sáb 5,18:00,Hiopos Lleida,Río Breogán
Sáb 5,20:45,Surne Bilbao,Dreamland GC
Sáb 5,20:45,Valencia Basket,UCAM Murcia
Dom 6,12:30,BAXI Manresa,Casademont Zgz
Dom 6,13:00,La Laguna TFE,Coviran Granada
Dom 6,17:00,Unicaja,Leyma Coruña
Dom 6,17:00,Baskonia,Bàsquet Girona
Dom 6,18:30,Barça,Real Madrid
Sáb 12,18:00,Bàsquet Girona,Río Breogán
Sáb 12,18:00,Casademont Zgz,Leyma Coruña
Sáb 12,20:45,UCAM Murcia,Baskonia
Sáb 12,20:45,Dreamland GC,Hiopos Lleida
Dom 13,12:30,Joventut,BAXI Manresa
Dom 13,13:00,La Laguna TFE,Real Madrid
Dom 13,17:00,Coviran Granada,Barça
Dom 13,17:00,MoraBanc And,Surne Bilbao
Dom 13,18:30,Valencia Basket,Unicaja
Sáb 19,18:00,BAXI Manresa,Bàsquet Girona
Sáb 19,18:00,Unicaja,Surne Bilbao
Sáb 19,20:45,Leyma Coruña,Coviran Granada
Sáb 19,20:45,UCAM Murcia,Joventut
Dom 20,12:30,Real Madrid,MoraBanc And
Dom 20,12:30,Hiopos Lleida,Valencia Basket
Dom 20,17:00,Baskonia,La Laguna TFE
Dom 20,17:00,Río Breogán,Casademont Zgz
Dom 20,18:30,Barça,Dreamland GC
Sáb 26,17:00,Casademont Zgz,Dreamland GC
Sáb 26,17:00,Coviran Granada,BAXI Manresa
Sáb 26,19:30,Río Breogán,Joventut
Sáb 26,19:30,La Laguna TFE,Leyma Coruña
Dom 27,12:30,Bàsquet Girona,Real Madrid
Dom 27,12:30,Valencia Basket,Baskonia
Dom 27,17:00,MoraBanc And,Hiopos Lleida
Dom 27,17:00,Surne Bilbao,UCAM Murcia
Dom 27,18:30,Barça,Unicaja
Sáb 3,18:00,Joventut,Surne Bilbao
Sáb 3,18:00,Baskonia,Casademont Zgz
Sáb 3,20:45,BAXI Manresa,Río Breogán
Sáb 3,20:45,Dreamland GC,Coviran Granada
Dom 4,12:30,Bàsquet Girona,La Laguna TFE
