PosVal,Equipo,PJ,Min,PT%,T3C,T3I,T3%,T2C,T2I,T2%,T1C,T1I,T1%,RbOf%,RbDf%,RbT%,Asi%,Rob%,Per%,TapF%,TapC%,Mates%,FaltasC%,FaltasR%,Val
1,RMA,42,200:00,88.6,10.4,28.5,36.6,19.6,33.7,58.3,18.0,22.0,82.1,9.5,27.7,37.1,20.2,7.1,13.2,4.2,2.0,4.7,17.9,21.6,109.9
2,FCB,39,201:55,88.4,9.5,23.7,40.2,22.7,40.1,56.7,14.3,19.7,72.5,10.0,25.4,35.4,19.2,6.7,13.3,2.3,2.4,3.5,18.7,20.7,101.3
3,UNI,41,200:00,87.4,9.8,27.0,36.3,21.7,38.9,55.8,14.6,19.0,76.7,10.1,25.6,35.8,19.8,9.5,11.9,2.2,2.2,2.5,21.0,19.7,100.5
4,BAS,34,201:28,88.5,11.4,30.3,37.7,19.4,33.9,57.2,15.4,20.1,76.7,9.4,24.5,33.9,17.4,6.4,12.4,2.0,2.4,1.7,19.9,20.1,95.5
5,CAN,36,202:05,84.0,9.8,26.7,36.6,19.9,34.9,56.8,14.9,18.5,80.5,8.7,22.9,31.6,17.6,7.0,11.4,2.4,2.8,2.1,20.6,20.5,92.8
6,VBC,37,200:40,83.8,8.5,23.1,37.0,21.3,39.6,53.7,15.7,21.4,73.1,10.2,24.5,34.6,17.7,8.7,13.9,2.8,2.7,2.3,20.9,20.6,92.1
7,GCA,36,202:05,83.3,9.9,28.9,34.3,19.7,35.6,55.2,14.3,19.6,72.6,10.3,23.1,33.4,17.5,8.5,12.0,3.1,2.6,2.0,21.1,20.5,90.4
8,AND,34,200:44,84.8,8.3,23.4,35.4,22.7,41.3,55.0,14.6,19.7,74.2,10.1,23.4,33.5,16.6,8.2,11.7,1.9,2.9,3.1,21.5,19.9,90.0
9,ZAR,34,200:00,82.3,7.7,21.9,35.1,21.7,40.2,53.9,15.9,21.4,74.1,10.0,25.8,35.8,16.4,7.8,14.8,2.8,2.8,2.5,20.1,20.9,90.0
10,MUR,45,201:40,82.4,8.8,26.1,33.7,20.5,38.6,53.0,15.0,19.5,76.8,10.6,24.7,35.3,16.3,8.9,13.0,2.8,2.4,2.4,22.4,19.9,87.7
11,MAN,36,200:41,83.9,10.1,31.9,31.7,19.7,37.8,52.2,14.1,18.8,75.0,13.3,25.9,39.1,18.3,7.2,13.8,3.3,3.4,2.9,22.4,20.0,87.6
12,OBR,34,202:12,81.2,7.8,25.1,31.2,20.7,38.4,53.9,16.3,20.6,78.9,10.7,24.7,35.5,14.9,6.9,13.2,3.4,2.4,1.5,21.3,21.1,86.8
13,BLB,34,200:44,78.7,8.1,24.5,33.3,20.6,38.4,53.5,13.2,18.2,72.3,10.6,24.9,35.5,16.3,7.5,13.8,4.4,2.8,3.0,20.6,19.3,85.2
14,JOV,34,200:00,81.6,8.1,23.6,34.1,20.4,39.9,51.1,16.7,22.5,74.3,10.6,24.0,34.7,16.3,6.7,12.9,2.1,2.7,1.7,22.0,21.5,84.5
15,GIR,34,200:44,81.0,10.4,30.1,34.7,17.6,36.3,48.6,14.4,18.7,77.1,12.0,25.2,37.2,16.1,7.5,14.4,2.8,3.4,2.2,21.8,19.9,82.2
16,COV,34,201:28,80.9,9.1,27.2,33.3,19.7,36.1,54.6,14.4,18.8,76.3,11.1,22.6,33.6,16.0,6.9,14.2,2.0,2.8,1.9,22.3,20.5,81.7
17,PAL,34,200:44,78.9,8.7,25.9,33.6,19.1,35.9,53.2,14.7,19.9,74.2,10.0,23.3,33.2,16.3,5.7,13.7,3.1,2.1,1.9,22.2,20.2,80.4
18,BRE,34,202:12,74.4,8.1,26.2,30.9,17.3,35.1,49.3,15.4,20.9,73.8,11.0,23.1,34.1,15.4,7.8,13.7,3.2,3.5,1.4,20.2,21.1,77.4
