Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
UNI,41,8.200,77.1,113.3,100.4,12.9,11.4,73,29,51,1.6,60,6,59,1.11,1.01
RMA,42,8.400,76.9,115.3,103.3,11.9,8.6,72,29,52,1.5,63,10,62,1.13,1.00
FCB,39,7.875,76.2,114.8,108.2,6.6,6.3,71,31,52,1.4,56,6,61,1.16,1.06
MUR,45,9.075,76.3,107.1,103.8,3.4,2.7,69,30,49,1.2,53,7,56,1.04,1.01
CAN,36,7.275,72.9,114.1,111.9,2.2,2.5,70,27,49,1.5,56,6,60,1.12,1.09
GCA,36,7.275,75.3,109.5,107.9,1.6,2.6,71,29,49,1.5,56,8,57,1.07,1.10
VBC,37,7.425,76.8,108.7,107.6,1.2,2.0,71,30,51,1.3,56,8,58,1.09,1.07
BAS,34,6.850,76.6,114.6,114.5,0.1,0.1,69,27,48,1.4,54,5,61,1.14,1.10
AND,34,6.825,75.9,111.4,111.9,-0.5,-0.3,70,29,49,1.4,51,6,58,1.09,1.12
MAN,36,7.225,79.4,105.3,106.4,-1.1,0.1,71,34,52,1.3,58,9,54,1.00,1.04
BLB,34,6.825,75.0,104.6,108.0,-3.4,-2.9,67,30,49,1.2,53,12,55,1.04,1.02
ZAR,34,6.800,77.7,106.0,109.5,-3.5,-2.8,70,29,50,1.1,53,8,58,1.07,1.07
OBR,34,6.875,75.5,106.4,110.5,-4.1,-3.1,71,31,51,1.1,49,9,56,1.02,1.09
GIR,34,6.825,77.8,103.7,108.5,-4.8,-4.7,71,31,50,1.1,55,7,54,1.00,1.07
BRE,34,6.875,73.7,99.9,106.0,-6.1,-4.2,68,30,48,1.1,56,9,53,0.96,1.04
JOV,34,6.800,77.0,106.1,112.3,-6.2,-4.8,71,29,49,1.3,54,6,56,1.02,1.10
COV,34,6.850,75.2,106.8,113.8,-7.0,-5.2,71,32,50,1.1,52,6,57,1.05,1.14
PAL,34,6.825,75.1,104.7,116.1,-11.4,-8.3,69,29,49,1.2,55,9,56,1.04,1.10
