Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
,Tyler Kalinoski,UNI,41,757,78.8,19,19,120.2,98.7,21.5,15.8,8,4,6,2.0,12,0,61,1.18,0.98
,Edy Tavares,RMA,35,772,78.3,18,14,120.7,100.9,19.8,11.1,21,16,19,0.6,6,7,76,1.49,0.99
,Dzanan Musa,RMA,40,832,79.9,30,28,121.8,102.5,19.3,13.7,11,3,7,1.6,16,1,65,1.20,1.00
,Facu Campazzo,RMA,39,901,78.6,25,19,119.9,101.2,18.7,12.4,8,2,6,2.3,37,0,67,1.16,1.00
,Kameron Taylor,UNI,41,766,78.1,26,23,115.6,98.1,17.5,7.0,15,6,11,1.7,21,1,56,1.07,0.99
,Fabien Causeur,RMA,35,523,77.2,21,20,117.2,100.8,16.4,1.0,9,3,6,1.5,13,2,57,1.11,0.98
,Alberto Abalde,RMA,40,628,77.6,15,16,114.5,99.3,15.2,6.3,14,3,9,2.9,17,0,63,1.23,1.00
,Dylan Osetkowski,UNI,39,762,79.8,27,25,115.1,100.4,14.7,2.7,17,8,12,1.0,8,1,62,1.14,1.01
,Eli John Ndiaye,RMA,25,296,78.2,15,17,116.3,101.9,14.5,-0.7,15,7,11,2.3,4,5,63,1.20,0.96
,Yankuba Sima,UNI,37,576,78.0,18,15,113.6,99.5,14.1,1.3,15,8,12,1.3,9,3,56,1.08,0.99
,Alberto Díaz,UNI,38,755,78.3,14,12,112.7,99.7,13.0,-0.3,13,4,9,4.3,28,0,59,1.09,0.98
,David Kravish,UNI,38,647,78.0,23,22,114.6,101.7,12.9,-0.6,18,7,13,1.0,11,3,56,1.09,0.98
,Kendrick Perry,UNI,38,699,80.2,28,25,112.9,100.5,12.4,2.6,9,2,6,2.7,32,1,55,0.95,1.02
,Mario Hezonja,RMA,38,836,78.1,25,25,114.5,102.3,12.2,-1.4,18,2,11,1.3,10,0,55,1.02,0.97
,Tyson Carter,UNI,40,794,79.0,26,24,116.3,104.4,11.9,1.7,8,2,5,2.0,21,1,62,1.21,1.05
,Simon Birgander,MUR,19,411,78.5,22,20,111.5,99.8,11.7,10.0,23,12,18,1.2,9,4,65,1.25,0.99
,Oscar Da Silva,FCB,37,603,77.5,16,14,114.4,104.1,10.3,-1.3,12,7,10,1.0,5,2,66,1.29,1.04
,Tobias Borg,AND,32,611,77.8,16,15,115.6,105.4,10.2,19.0,6,3,5,1.8,13,1,65,1.27,1.07
,Melvin Ejim,UNI,40,589,78.9,22,20,114.1,103.9,10.1,-2.6,14,7,11,0.9,9,3,66,1.23,1.04
,Álex Abrines,FCB,31,550,76.8,16,15,117.8,107.8,10.1,5.9,13,5,9,1.4,5,0,64,1.21,1.05
,Guerschon Yabusele,RMA,32,675,79.1,20,18,116.4,106.4,10.0,-0.2,10,7,9,1.1,8,1,65,1.20,1.05
,Aaron Doornekamp,CAN,29,703,73.3,15,15,116.5,106.9,9.6,11.1,17,4,10,1.7,7,1,57,1.07,1.03
,Nikola Kalinic,FCB,34,655,77.7,16,14,114.9,105.3,9.6,6.2,15,3,9,1.7,14,1,57,1.09,1.01
,Alexander Madsen,AND,15,187,79.1,14,12,114.1,104.6,9.4,4.3,18,9,14,0.9,8,4,39,0.69,1.01
,Augusto Lima,UNI,19,171,80.1,17,14,108.9,99.6,9.3,0.1,19,6,13,2.0,14,4,39,0.77,1.04
,Juani Marcos,GIR,22,498,77.2,25,21,111.4,102.4,9.1,19.8,11,3,7,1.8,25,1,55,1.01,0.97
,Jovan Kljajic,GCA,27,310,79.1,20,19,112.7,103.8,8.9,7.1,6,2,4,1.2,9,1,45,0.84,1.04
,Marko Todorovic,MUR,20,361,76.7,28,24,113.2,104.6,8.6,9.8,18,9,14,1.0,10,6,58,1.08,0.98
,Tomas Satoransky,FCB,36,823,77.8,19,16,116.2,107.7,8.6,7.2,13,3,9,2.4,28,0,61,1.17,1.06
,Jan Vesely,FCB,31,592,78.0,23,21,118.4,109.9,8.5,6.6,15,9,12,1.4,12,3,61,1.17,1.10
,Dani García,MAN,29,458,82.5,21,18,110.6,102.4,8.2,9.9,7,4,5,3.6,34,0,53,0.98,1.05
