Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
D. Ennis,Dylan Ennis,MUR,107,141,75.9,154,283,54.4,62,202,30.7
M. Howard,Markus Howard,BAS,109,122,89.3,68,137,49.6,112,273,41.0
D. Musa,Dzanan Musa,RMA,126,153,82.4,121,202,59.9,66,164,40.2
M. Huertas,Marcelinho Huertas,CAN,83,91,91.2,154,292,52.7,40,106,37.7
D. Robinson,Devin Robinson,MAN,93,118,78.8,170,312,54.5,22,82,26.8
B. Badio,Brancou Badio,MAN,103,123,83.7,106,225,47.1,60,192,31.3
I. Iroegbu,Ike Iroegbu,GIR,128,150,85.3,93,208,44.7,59,191,30.9
J. Parker,Jabari Parker,FCB,74,88,84.1,114,202,56.4,56,136,41.2
D. Osetkowski,Dylan Osetkowski,UNI,90,108,83.3,90,162,55.6,63,162,38.9
A. Pustovyi,Artem Pustovyi,OBR,110,142,77.5,168,287,58.5,4,13,30.8
F. Campazzo,Facu Campazzo,RMA,140,151,92.7,74,133,55.6,56,139,40.3
W. Hernangómez,Willy Hernangómez,FCB,98,168,58.3,160,283,56.5,11,22,50.0
E. Happ,Ethan Happ,GCA,66,114,57.9,190,282,67.4,0,3,0.0
K. Cheatham,Kwan Cheatham,COV,32,47,68.1,85,181,47.0,80,215,37.2
B. Davies,Brandon Davies,VBC,101,138,73.2,139,254,54.7,21,49,42.9
T. Carter,Tyson Carter,UNI,51,72,70.8,102,163,62.6,62,160,38.8
A. Pasecniks,Anzejs Pasecniks,PAL,96,171,56.1,171,275,62.2,1,10,10.0
J. Montero,Jean Montero,AND,116,130,89.2,102,199,51.3,40,123,32.5
N. Brussino,Nico Brussino,GCA,85,108,78.7,73,127,57.5,69,202,34.2
D. Sleva,Dustin Sleva,MUR,82,97,84.5,101,186,54.3,51,133,38.3
J. Howard,Jordan Howard,OBR,109,130,83.8,69,157,43.9,63,195,32.3
C. Jones,Chris Jones,VBC,72,88,81.8,119,207,57.5,41,96,42.7
C. Moneke,Chima Moneke,BAS,136,175,77.7,94,154,61.0,34,82,41.5
S. Ojeleye,Semi Ojeleye,VBC,89,115,77.4,86,153,56.2,54,123,43.9
T. Bell-Haynes,Trae Bell-Haynes,ZAR,106,127,83.5,106,194,54.6,34,90,37.8
A. Feliz,Andres Feliz,JOV,86,107,80.4,120,212,56.6,31,109,28.4
J. Harding,Jerrick Harding,AND,58,71,81.7,111,203,54.7,46,138,33.3
M. Maric,Marin Maric,AND,95,123,77.2,155,250,62.0,0,1,0.0
S. Killeya-Jones,Sacha Killeya-Jones,BLB,78,123,63.4,148,277,53.4,10,25,40.0
T. Scrubb,Thomas Scrubb,OBR,70,85,82.4,111,190,58.4,37,108,34.3
M. Hezonja,Mario Hezonja,RMA,66,75,88.0,88,174,50.6,53,155,34.2
A. Tomic,Ante Tomic,JOV,83,121,68.6,151,282,53.5,1,4,25.0
S. Yusta,Santi Yusta,ZAR,76,95,80.0,75,139,54.0,53,150,35.3
G. Shermadini,Giorgi Shermadini,CAN,115,144,79.9,135,192,70.3,0,0,0.0
V. Benite,Vitor Benite,PAL,69,83,83.1,61,140,43.6,64,176,36.4
V. Marinkovic,Vanja Marinkovic,BAS,38,47,80.9,66,116,56.9,70,181,38.7
K. Perry,Kendrick Perry,UNI,104,125,83.2,75,155,48.4,41,131,31.3
N. Laprovittola,Nico Laprovittola,FCB,88,108,81.5,61,119,51.3,54,146,37.0
K. Taylor,Kameron Taylor,UNI,46,63,73.0,115,209,55.0,30,90,33.3
K. Van der Vuurst,Keye Van der Vuurst,PAL,59,69,85.5,63,119,52.9,59,167,35.3
M. Costello,Matt Costello,BAS,38,51,74.5,85,123,69.1,50,124,40.3
A. Slaughter,AJ Slaughter,GCA,46,61,75.4,60,125,48.0,63,178,35.4
L. Costa,Lluis Costa,COV,83,95,87.4,64,144,44.4,48,147,32.7
M. Watt,Mitchell Watt,ZAR,54,83,65.1,142,231,61.5,5,20,25.0
C. Felicio,Cristiano Felicio,COV,95,124,76.6,126,196,64.3,0,6,0.0
K. Kullamae,Kristian Kullamae,BLB,31,36,86.1,81,157,51.6,50,148,33.8
C. Miller-McIntyre,Codi Miller-McIntyre,BAS,51,70,72.9,102,184,55.4,29,94,30.9
V. Poirier,Vincent Poirier,RMA,91,113,80.5,122,193,63.2,1,8,12.5
T. Caupain,Troy Caupain,MUR,44,58,75.9,43,108,39.8,69,167,41.3
D. Kramer,David Kramer,COV,52,81,64.2,70,134,52.2,48,155,31.0
E. Tavares,Edy Tavares,RMA,83,117,70.9,126,169,74.6,0,0,0.0
A. Smith,Adam Smith,BLB,38,47,80.9,67,157,42.7,50,143,35.0
T. Kalinoski,Tyler Kalinoski,UNI,25,27,92.6,55,88,62.5,60,157,38.2
R. Kurucs,Rodions Kurucs,MUR,47,72,65.3,88,156,56.4,30,91,33.0
H. Sant-Roos,Howard Sant-Roos,MUR,112,130,86.2,52,128,40.6,32,115,27.8
L. Hakanson,Ludde Hakanson,MUR,43,49,87.8,52,91,57.1,55,148,37.2
